Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percentage_mass_loss,,,
8A3,2.138,1.891,G,24/06/2016,13/08/2016,50,1.208,0.961,0.49,49,,,
8A4,2.086,1.839,G,24/06/2016,13/08/2016,50,1.158,0.911,0.5,50,,,
9A1,2.097,1.85,G,24/06/2016,13/08/2016,50,1.091,0.844,0.54,54,,,
9A2,2.016,1.769,G,24/06/2016,13/08/2016,50,1.044,0.797,0.55,55,,,
9A3,2.063,1.816,G,24/06/2016,13/08/2016,50,1.185,0.938,0.48,48,,,
9A4,2.086,1.839,G,24/06/2016,13/08/2016,50,1.047,0.8,0.57,57,,,
10A2,2.057,1.81,G,24/06/2016,13/08/2016,50,0.835,0.588,0.68,68,,,
10A3,1.885,1.638,G,24/06/2016,13/08/2016,50,0.857,0.61,0.63,63,,,
10A4,1.957,1.71,G,24/06/2016,13/08/2016,50,0.706,0.589,0.66,66,,,
10A1,1.962,1.715,G,24/06/2016,13/08/2016,50,0.811,0.564,0.67,67,,,
11A1,2.113,1.866,G,24/06/2016,13/08/2016,50,1.278,1.031,0.45,45,,,
11A2,2.182,1.935,G,24/06/2016,13/08/2016,50,1.119,0.872,0.55,55,Mean G,SD G,CV
11A3,1.9,1.653,G,24/06/2016,13/08/2016,50,1.092,0.845,0.49,49,57.63576159,9.573215025,602.0523036
