Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percent_mass_loss,Treatment,Site,Moiture_VWC,,,,Treatment,Moiture_VWC,Before/after,Date,Probe_type,Site
K260,2.043,1.7956,G,23/06/2016,14/08/2016,52,1.072,0.8246,0.54,54,nothing,14,36.7,,,,,,,,,
K261,2.032,1.7846,G,23/06/2016,14/08/2016,52,1.206,0.9586,0.46,46,nothing,14,36.8,,,,,,,,,
K262,2.051,1.8036,G,23/06/2016,14/08/2016,52,0.969,0.7216,0.6,60,nothing,14,30.9,,,,,,,,,
K263,1.998,1.7506,G,23/06/2016,14/08/2016,52,1.162,0.9146,0.48,48,nothing,14,29.9,,,,,,,,,
K264,2.162,1.9146,G,23/06/2016,14/08/2016,52,0.906,0.6586,0.66,66,nothing,14,27.7,,,,,,,,,
K265,2.011,1.7636,G,23/06/2016,14/08/2016,52,0.977,0.7296,0.59,59,"heavy water, cover",15,40.6,,,,,,,,,
K266,2.153,1.9056,G,23/06/2016,14/08/2016,52,0.99,0.7426,0.61,61,"heavy water, cover",15,27.9,,,,,,,,,
K267,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.823,0.5756,0.67,67,"heavy water, cover",15,43.2,,,,,,,,,
K268,1.95,1.7026,G,23/06/2016,14/08/2016,52,0.862,0.6146,0.64,64,"heavy water, cover",15,34.6,,,,,,,,,
K269,2.105,1.8576,G,23/06/2016,14/08/2016,52,0.968,0.7206,0.61,61,"heavy water, cover",15,32,,,,,,,,,
K270,2.128,1.8806,G,23/06/2016,14/08/2016,52,0.887,0.6396,0.66,66,"heavy water, cover",15,29.3,,,,,,,,,
K271,1.984,1.7366,G,23/06/2016,14/08/2016,52,0.837,0.5896,0.66,66,nothing,16,37.2,,,,,,,,,
K272,2.138,1.8906,G,23/06/2016,14/08/2016,52,1.073,0.8256,0.56,56,nothing,16,36.7,,,,,,,,,
K273,2.056,1.8086,G,23/06/2016,14/08/2016,52,1.107,0.8596,0.52,52,nothing,16,36.8,,,,,,,,,
K274,1.948,1.7006,G,23/06/2016,14/08/2016,52,0.927,0.6796,0.6,60,nothing,16,30.9,,,,,,,,,
K275,2.064,1.8166,G,23/06/2016,14/08/2016,52,0.737,0.4896,0.73,73,nothing,16,29.9,,,,,,,,,
K276,1.987,1.7396,G,23/06/2016,14/08/2016,52,0.825,0.5776,0.67,67,nothing,16,27.7,,,,,,,,,
K277,1.867,1.6196,G,23/06/2016,14/08/2016,52,0.922,0.6746,0.58,58,"disturbance, cover",17,21.8,,,,,,,,,
K278,2.11,1.8626,G,23/06/2016,14/08/2016,52,0.833,0.5856,0.69,69,"disturbance, cover",17,18.4,,,,,,,,,
K279,2.134,1.8866,G,23/06/2016,14/08/2016,52,0.984,0.7366,0.61,61,"disturbance, cover",17,16.3,,,,,,,,,
K280,1.944,1.6966,G,23/06/2016,14/08/2016,52,0.814,0.5666,0.67,67,"disturbance, cover",17,8.5,,,,,,,,,
K281,2.114,1.8666,G,23/06/2016,14/08/2016,52,0.93,0.6826,0.63,63,"disturbance, cover",17,10.9,,,,,,,,,
K282,2.012,1.7646,G,23/06/2016,14/08/2016,52,0.861,0.6136,0.65,65,"disturbance, cover",17,13.9,,,,,,,,,
K283,2.12,1.8726,G,23/06/2016,14/08/2016,52,1.071,0.8236,0.56,56,disturbance,18,19.1,,,,,,,,,
K284,2.063,1.8156,G,23/06/2016,14/08/2016,52,0.96,0.7126,0.61,61,disturbance,18,10,,,,,,,,,
K285,2.01,1.7626,G,23/06/2016,14/08/2016,52,0.888,0.6406,0.64,64,disturbance,18,13.6,,,,,,,,,
K286,2.185,1.9376,G,23/06/2016,14/08/2016,52,1.03,0.7826,0.6,60,disturbance,18,30.9,,,,,,,,,
K287,2.013,1.7656,G,23/06/2016,14/08/2016,52,0.881,0.6336,0.64,64,disturbance,18,29.9,,,,,,,,,
K288,1.985,1.7376,G,23/06/2016,14/08/2016,52,0.857,0.6096,0.65,65,disturbance,18,27.7,,,,,,,,,
